price,rooms,baths,m2_cons,m2_property,floor,garage,balcony,terrace,lift,AC,prop_age,pool,east,north,south,west,adosado,pareado,chalet,masia,atico,duplex,estudio,piso,casa_rustica,villa,heating,trastero,fireplace,garden,wardrobes,mobility,sea_views,nuda,ocupada,rented,new,good,renovate,missing_prop_age,parking_price,location_cluster,room_efficiency,bath_to_room_ratio,cluster_price_mean,cluster_price_std,age_condition_score,luxury_score,luxury_per_m2,is_house,is_apartment,is_small,orientation_score,amenity_count,amenity_density,top_floor,ground_floor,is_tiny,is_small_apt,is_medium,is_large,is_mansion,is_vintage,optimal_age,has_outdoor,has_storage,convenience_score,energy_score,missing_energy_score,energy_premium,energy_penalty,cluster_luxury_level,is_premium_location,room_size_balance,bathroom_luxury,space_efficiency,family_home,luxury_property,m2_property_ratio,amenity_per_room,total_quality,quality_size_fit
235000,3,3,473,473,1,False,False,False,False,False,49,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,0,20,0.006342494714587738,1.0,206551.92730844795,195848.04032662697,49.0,0,0.0,False,False,False,0.0,0,0.0,False,False,False,False,False,False,True,False,False,False,False,0,-1.0,True,False,False,1.068762278978389,False,78.83333333333333,True,1.0,False,False,0.9978902953586498,0.0,0.0,0.0
480000,6,4,486,4391,2,True,True,True,False,False,47,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,True,False,False,0,20,0.012345679012345678,0.6666666666666666,206551.92730844795,195848.04032662697,47.0,2,0.00411522633744856,False,False,False,0.5,5,0.0102880658436214,False,False,False,False,False,False,True,False,False,True,True,3,-1.0,True,False,False,1.068762278978389,False,48.6,True,0.11068093828285129,False,False,9.016427104722792,0.8333333333333334,5.5,267.3
480000,7,3,486,4391,2,True,False,True,False,True,47,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,0,20,0.01440329218106996,0.42857142857142855,206551.92730844795,195848.04032662697,47.0,3,0.006172839506172839,False,False,False,0.0,3,0.006172839506172839,False,False,False,False,False,False,True,False,False,True,True,4,-1.0,True,False,False,1.068762278978389,False,48.6,False,0.11068093828285129,False,True,9.016427104722792,0.42857142857142855,7.0,340.2
115000,4,4,160,160,1,False,True,False,True,True,52,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,0,20,0.025,1.0,206551.92730844795,195848.04032662697,52.0,2,0.0125,False,True,False,0.0,2,0.0125,False,True,False,False,False,True,False,True,False,True,True,3,-1.0,True,False,False,1.068762278978389,False,20.0,True,1.0,False,False,0.9937888198757764,0.5,5.0,100.0
74000,4,2,99,99,0,False,False,False,False,False,49,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,0,20,0.04040404040404041,0.5,206551.92730844795,195848.04032662697,49.0,0,0.0,False,True,False,0.0,1,0.010101010101010102,False,True,False,False,True,False,False,False,False,False,True,1,-1.0,True,False,False,1.068762278978389,False,16.5,False,1.0,False,False,0.99,0.25,1.0,16.5
135000,3,2,100,100,2,False,False,True,False,True,20,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,0,20,0.03,0.6666666666666666,206551.92730844795,195848.04032662697,20.0,1,0.01,False,False,False,0.0,2,0.02,False,False,False,False,True,False,False,False,True,True,True,2,4.0,False,False,True,1.068762278978389,False,20.0,True,1.0,False,False,0.9900990099009901,0.6666666666666666,3.0,60.0
130000,4,2,185,185,1,True,True,True,False,False,60,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,0,20,0.021621621621621623,0.5,206551.92730844795,195848.04032662697,60.0,0,0.0,False,True,False,2.0,4,0.021621621621621623,False,True,False,False,False,True,False,True,False,True,True,3,-1.0,True,False,False,1.068762278978389,False,30.833333333333332,False,1.0,False,False,0.9946236559139785,1.0,5.0,154.16666666666666
174000,4,4,197,197,2,True,True,False,False,True,19,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,0,20,0.02030456852791878,1.0,206551.92730844795,195848.04032662697,19.0,1,0.005076142131979695,False,False,False,1.5,3,0.015228426395939087,False,False,False,False,False,True,False,False,True,True,True,4,6.0,False,False,True,1.068762278978389,False,24.625,True,1.0,False,False,0.9949494949494949,0.75,6.5,160.0625
52000,3,1,95,95,2,False,True,False,False,False,53,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0,20,0.031578947368421054,0.3333333333333333,206551.92730844795,195848.04032662697,53.0,0,0.0,False,True,False,0.0,2,0.021052631578947368,False,False,False,False,True,False,False,True,False,True,True,1,3.0,False,False,False,1.068762278978389,False,23.75,False,1.0,False,False,0.9895833333333334,0.6666666666666666,1.0,23.75
130000,3,2,134,134,2,True,False,True,True,True,18,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False,False,0,20,0.022388059701492536,0.6666666666666666,206551.92730844795,195848.04032662697,18.0,2,0.014925373134328358,False,True,False,1.5,4,0.029850746268656716,False,False,False,False,False,True,False,False,True,True,True,5,-1.0,True,False,False,1.068762278978389,False,26.8,True,1.0,False,False,0.9925925925925926,1.3333333333333333,8.5,227.8
